2024-02-20 11:58:05.624 [info] Log level: Info
2024-02-20 11:58:05.624 [info] Validating found git in: "git"
2024-02-20 11:58:05.624 [info] Using git "2.17.1" from "git"
2024-02-20 11:58:05.624 [info] > git rev-parse --show-toplevel [4ms]
2024-02-20 11:58:05.625 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.633 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.640 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.644 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.651 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.656 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.662 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.668 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.673 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.681 [info] > git rev-parse --show-toplevel [3ms]
2024-02-20 11:58:05.687 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.694 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.701 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.722 [info] > git rev-parse --show-toplevel [7ms]
2024-02-20 11:58:05.736 [info] > git rev-parse --show-toplevel [3ms]
2024-02-20 11:58:05.753 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.760 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.772 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.780 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.785 [info] > git rev-parse --show-toplevel [0ms]
2024-02-20 11:58:05.794 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.800 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.805 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.810 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.816 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.821 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:05.830 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.836 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:05.843 [info] > git rev-parse --show-toplevel [2ms]
2024-02-20 11:58:15.878 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:16.508 [info] > git rev-parse --show-toplevel [1ms]
2024-02-20 11:58:17.141 [info] > git rev-parse --show-toplevel [6ms]
2024-02-20 11:58:18.057 [info] > git rev-parse --show-toplevel [2ms]
